Área;Casos desnutrición aguda (moderada severa);Proporción desnutrición aguda (moderada severa);Casos Retraso en talla;Proporción Retraso en talla;Casos desnutrición global;Proporción desnutrición global;Casos Exceso de peso;Proporción exceso de peso;Total población ;Año
Usaquén;314;5,0;1298;20,7;552;8,8;351;5,6;6267;2005
Chapinero;135;5,9;388;16,8;200;8,7;80;3,5;2304;2005
Santa Fe;120;5,2;531;22,9;257;11,1;124;5,3;2318;2005
San Cristóbal;524;6,4;1660;20,3;872;10,7;391;4,8;8168;2005
Usme;789;7,1;2328;21;1082;9,8;650;5,9;11066;2005
Tunjuelito;243;5,6;709;16,4;389;9;188;4,3;4325;2005
Bosa;537;7,1;1107;14,6;648;8,6;322;4,3;7576;2005
Kennedy;635;6,4;1347;13,7;799;8,1;448;4,6;9845;2005
Fontibón;608;12;599;11,8;364;7,2;215;4,2;5066;2005
Engativá;552;5,5;1411;14,2;739;7,4;510;5,1;9952;2005
Suba;415;6,4;901;13,9;494;7,6;241;3,7;6465;2005
Barrios Unidos;112;5,3;242;11,6;144;6,9;59;2,8;2094;2005
Teusaquillo;112;6,6;203;12;127;7,5;48;2,8;1693;2005
Los Mártires;106;6,2;275;16;167;9,7;81;4,7;1720;2005
Antonio Nariño;72;6,5;125;11,3;73;6,6;48;4,4;1102;2005
Puente Aranda;254;6,1;460;11,1;298;7,2;193;4,6;4154;2005
Candelaria;123;8,3;292;19,8;149;10,1;71;4,8;1477;2005
Rafael Uribe Uribe;263;7,4;608;17;336;9,4;224;6,3;3570;2005
Ciudad Bolívar;652;7,4;1722;19,5;1001;11,3;386;4,4;8850;2005
Sumapaz;17;6,2;63;22,9;26;9,5;26;9,5;275;2005
Distrito;9485;7,1;22651;16,9;12239;9,1;6603;4,9;134146;2005
Usaquén;425;6,5;1154;17,6;541;8,2;365;5,6;6562;2006
Chapinero;126;8,4;201;13,4;123;8,2;51;3,4;1501;2006
Santa Fe;155;7,3;439;20,6;239;11,2;118;5,5;2133;2006
San Cristóbal;619;7,7;1554;19,4;825;10,3;414;5,2;8030;2006
Usme;873;7,2;2576;21,4;1219;10,1;702;5,8;12060;2006
Tunjuelito;212;5;629;14,9;279;6,6;260;6,2;4211;2006
Bosa;852;6,7;1879;14,9;1076;8,5;579;4,6;12623;2006
Kennedy;678;7;1161;12;716;7,4;417;4,3;9636;2006
Fontibón;395;11;385;10,7;224;6,2;149;4,1;3606;2006
Engativá;475;7;964;14,1;566;8,3;321;4,7;6820;2006
Suba;821;6,6;1939;15,6;1034;8,3;544;4,4;12417;2006
Barrios Unidos;52;4,5;143;12,5;75;6,5;51;4,5;1146;2006
Teusaquillo;27;5;50;9,2;31;5,7;23;4,2;543;2006
Los Mártires;90;9,1;163;16,4;114;11,5;47;4,7;991;2006
Antonio Nariño;65;7,6;159;18,7;83;9,7;53;6,2;852;2006
Puente Aranda;148;6,3;231;9,9;136;5,8;100;4,3;2333;2006
Candelaria;60;7;143;16,8;86;10,1;35;4,1;852;2006
Rafael Uribe Uribe;794;8,3;1684;17,7;988;10,4;561;5,9;9525;2006
Ciudad Bolívar;886;7;2476;19,7;1276;10,1;617;4,9;12576;2006
Sumapaz;35;9,4;64;17,2;40;10,7;24;6,4;373;2006
Distrito;8200;7,2;18843;16,5;10115;8,9;5706;5;113865;2006
Usaquén;353;5,5;1244;19,4;508;7,9;463;7,2;6409;2007
Chapinero;74;6;161;13;89;7,2;67;5,4;1235;2007
Santa Fe;169;7,2;513;21,8;250;10,6;142;6;2357;2007
San Cristóbal;798;8,2;1929;19,9;1190;12,3;486;5;9712;2007
Usme;834;6,5;2498;19,5;1120;8,8;784;6,1;12797;2007
Tunjuelito;210;5,8;566;15,6;256;7,1;280;7,7;3617;2007
Bosa;810;6,7;2008;16,6;976;8,1;595;4,9;12078;2007
Kennedy;833;5,9;1828;13;1015;7,2;517;3,7;14093;2007
Fontibón;267;6,9;534;13,8;277;7,1;256;6,6;3880;2007
Engativá;536;6,6;1070;13,2;586;7,3;454;5,6;8078;2007
Suba;787;5,7;2105;15,3;975;7,1;674;4,9;13743;2007
Barrios Unidos;46;5,1;106;11,7;62;6,8;39;4,3;908;2007
Teusaquillo;54;7,4;78;10,6;59;8;35;4,8;734;2007
Los Mártires;49;5,2;179;19,2;86;9,2;54;5,8;934;2007
Antonio Nariño;97;7,9;190;15,4;120;9,8;74;6;1230;2007
Puente Aranda;151;5,3;284;10;170;6;101;3,6;2834;2007
